bin_id	Clone_0	Clone_1	Clone_2
bin_0	10	5	10
bin_1	10	5	10
bin_2	10	5	10
bin_3	10	5	10
bin_4	10	5	10
bin_5	10	5	10
bin_6	10	5	10
bin_7	10	5	10
bin_8	10	5	10
bin_9	10	5	10
bin_10	10	5	10
bin_11	10	5	10
bin_12	10	5	10
bin_13	10	5	10
bin_14	10	5	10
bin_15	10	5	10
bin_16	10	5	10
bin_17	10	5	10
bin_18	10	5	10
bin_19	10	5	10
bin_20	10	5	10
bin_21	10	5	10
bin_22	10	5	10
bin_23	10	5	10
bin_24	10	5	10
bin_25	10	5	10
bin_26	10	5	10
bin_27	10	5	10
bin_28	10	5	10
bin_29	10	5	10
bin_30	10	5	10
bin_31	10	5	10
bin_32	10	5	10
bin_33	10	5	10
bin_34	10	5	10
bin_35	10	5	10
bin_36	10	5	10
bin_37	10	5	10
bin_38	10	5	10
bin_39	10	5	10
bin_40	10	5	10
bin_41	10	5	10
bin_42	10	5	10
bin_43	10	5	10
bin_44	10	5	10
bin_45	10	5	10
bin_46	10	5	10
bin_47	10	5	10
bin_48	10	5	10
bin_49	10	5	10
bin_50	10	5	10
bin_51	10	5	10
bin_52	10	5	10
bin_53	10	5	10
bin_54	10	5	10
bin_55	10	5	10
bin_56	10	5	10
bin_57	10	5	10
bin_58	10	5	10
bin_59	10	5	10
bin_60	10	5	10
bin_61	10	5	10
bin_62	10	5	10
bin_63	10	5	10
bin_64	10	5	10
bin_65	10	5	10
bin_66	10	5	10
bin_67	10	5	10
bin_68	10	5	10
bin_69	10	5	10
bin_70	10	5	10
bin_71	10	5	10
bin_72	10	5	10
bin_73	10	5	10
bin_74	10	5	10
bin_75	10	5	10
bin_76	10	5	10
bin_77	10	5	10
bin_78	10	5	10
bin_79	10	5	10
bin_80	10	5	10
bin_81	10	5	10
bin_82	10	5	10
bin_83	10	5	10
bin_84	10	5	10
bin_85	10	5	10
bin_86	10	5	10
bin_87	10	5	10
bin_88	10	5	10
bin_89	10	5	10
bin_90	10	5	10
bin_91	10	5	10
bin_92	10	5	10
bin_93	10	5	10
bin_94	10	5	10
bin_95	10	5	10
bin_96	10	5	10
bin_97	10	5	10
bin_98	10	5	10
bin_99	10	5	10
bin_100	10	5	10
bin_101	10	5	10
bin_102	10	5	10
bin_103	10	5	10
bin_104	10	5	10
bin_105	10	5	10
bin_106	10	5	10
bin_107	10	5	10
bin_108	10	5	10
bin_109	10	5	10
bin_110	10	5	10
bin_111	10	5	10
bin_112	10	5	10
bin_113	10	5	10
bin_114	10	5	10
bin_115	10	5	10
bin_116	10	5	10
bin_117	10	5	10
bin_118	10	5	10
bin_119	10	5	10
bin_120	10	5	10
bin_121	10	5	10
bin_122	10	5	10
bin_123	10	5	10
bin_124	10	5	10
bin_125	10	5	10
bin_126	10	5	10
bin_127	10	5	10
bin_128	10	5	10
bin_129	10	5	10
bin_130	10	5	10
bin_131	10	5	10
bin_132	10	5	10
bin_133	10	5	10
bin_134	10	5	10
bin_135	10	5	10
bin_136	10	5	10
bin_137	10	5	10
bin_138	10	5	10
bin_139	10	5	10
bin_140	10	5	10
bin_141	10	5	10
bin_142	10	5	10
bin_143	10	5	10
bin_144	10	5	10
bin_145	10	5	10
bin_146	10	5	10
bin_147	10	5	10
bin_148	10	5	10
bin_149	10	5	10
bin_150	10	5	10
bin_151	10	5	10
bin_152	10	5	10
bin_153	10	5	10
bin_154	10	5	10
bin_155	10	5	10
bin_156	10	5	10
bin_157	10	5	10
bin_158	10	5	10
bin_159	10	5	10
bin_160	10	5	10
bin_161	10	5	10
bin_162	10	5	10
bin_163	10	5	10
bin_164	10	5	10
bin_165	10	5	10
bin_166	10	5	10
bin_167	10	5	10
bin_168	10	5	10
bin_169	10	5	10
bin_170	10	5	10
bin_171	10	5	10
bin_172	10	5	10
bin_173	10	5	10
bin_174	10	5	10
bin_175	10	5	10
bin_176	10	5	10
bin_177	10	5	10
bin_178	10	5	10
bin_179	10	5	10
bin_180	10	5	10
bin_181	10	5	10
bin_182	10	5	10
bin_183	10	5	10
bin_184	10	5	10
bin_185	10	5	10
bin_186	10	5	10
bin_187	10	5	10
bin_188	10	5	10
bin_189	10	5	10
bin_190	10	5	10
bin_191	10	5	10
bin_192	10	5	10
bin_193	10	5	10
bin_194	10	5	10
bin_195	10	5	10
bin_196	10	5	10
bin_197	10	5	10
bin_198	10	5	10
bin_199	10	5	10
bin_200	10	5	10
bin_201	10	5	10
bin_202	10	5	10
bin_203	10	5	10
bin_204	10	5	10
bin_205	10	5	10
bin_206	10	5	10
bin_207	10	5	10
bin_208	10	5	10
bin_209	10	5	10
bin_210	10	5	10
bin_211	10	5	10
bin_212	10	5	10
bin_213	10	5	10
bin_214	10	5	10
bin_215	10	5	10
bin_216	10	5	10
bin_217	10	5	10
bin_218	10	5	10
bin_219	10	5	10
bin_220	10	5	10
bin_221	10	5	10
bin_222	10	5	10
bin_223	10	5	10
bin_224	10	5	10
bin_225	10	5	10
bin_226	10	5	10
bin_227	10	5	10
bin_228	10	5	10
bin_229	10	5	10
bin_230	10	5	10
bin_231	10	5	10
bin_232	10	5	10
bin_233	10	5	10
bin_234	10	5	10
bin_235	10	5	10
bin_236	10	5	10
bin_237	10	5	10
bin_238	10	5	10
bin_239	10	5	10
bin_240	10	5	10
bin_241	10	5	10
bin_242	10	5	10
bin_243	10	5	10
bin_244	10	5	10
bin_245	10	5	10
bin_246	10	5	10
bin_247	10	5	10
bin_248	10	5	10
bin_249	10	5	10
bin_250	10	5	10
bin_251	10	5	10
bin_252	10	5	10
