chr	start	end	A	C	E
1	2000001	2500000	1.0	3.0	3.0
1	3000001	3500000	1.0	3.0	3.0
1	4000001	4500000	1.0	3.0	3.0
1	4500001	5000000	1.0	3.0	3.0
1	5000001	5500000	1.0	3.0	3.0
1	5500001	6000000	1.0	3.0	3.0
1	6000001	6500000	1.0	3.0	3.0
1	6500001	7000000	1.0	3.0	3.0
1	7000001	7500000	1.0	3.0	3.0
1	7500001	8000000	1.0	3.0	3.0
1	8000001	8500000	1.0	3.0	3.0
1	8500001	9000000	1.0	3.0	3.0
1	9000001	9500000	1.0	3.0	3.0
1	9500001	10000000	2.0	3.0	3.0
1	10000001	10500000	2.0	3.0	3.0
1	10500001	11000000	2.0	3.0	3.0
1	11000001	11500000	2.0	3.0	3.0
1	11500001	12000000	2.0	3.0	3.0
1	12000001	12500000	2.0	3.0	3.0
1	14000001	14500000	2.0	3.0	3.0
1	14500001	15000000	2.0	3.0	3.0
1	15000001	15500000	2.0	3.0	3.0
1	15500001	16000000	2.0	3.0	3.0
1	16000001	16500000	2.0	3.0	3.0
1	17500001	18000000	2.0	5.0	5.0
1	18000001	18500000	2.0	5.0	5.0
1	18500001	19000000	2.0	5.0	5.0
1	19000001	19500000	2.0	5.0	5.0
1	19500001	20000000	2.0	5.0	5.0
1	20000001	20500000	2.0	5.0	5.0
1	20500001	21000000	2.0	5.0	5.0
1	21000001	21500000	2.0	5.0	5.0
1	21500001	22000000	2.0	5.0	5.0
1	22000001	22500000	2.0	5.0	5.0
1	22500001	23000000	2.0	5.0	5.0
1	23000001	23500000	2.0	3.0	3.0
1	23500001	24000000	2.0	3.0	3.0
1	24500001	25000000	2.0	3.0	3.0
1	25000001	25500000	2.0	3.0	3.0
1	26000001	26500000	2.0	3.0	3.0
1	26500001	27000000	2.0	3.0	3.0
1	27000001	27500000	2.0	3.0	3.0
1	27500001	28000000	2.0	3.0	3.0
1	28000001	28500000	2.0	3.0	3.0
1	28500001	29000000	2.0	3.0	3.0
1	29000001	29500000	2.0	3.0	3.0
1	30500001	31000000	2.0	3.0	3.0
1	31000001	31500000	2.0	3.0	3.0
1	31500001	32000000	2.0	3.0	3.0
1	32000001	32500000	2.0	3.0	3.0
1	32500001	33000000	2.0	3.0	3.0
1	33000001	33500000	2.0	3.0	3.0
1	33500001	34000000	2.0	3.0	3.0
1	34000001	34500000	2.0	3.0	3.0
1	35500001	36000000	2.0	3.0	3.0
1	36000001	36500000	2.0	3.0	3.0
1	36500001	37000000	2.0	3.0	3.0
1	37000001	37500000	2.0	3.0	3.0
1	37500001	38000000	2.0	3.0	3.0
1	38000001	38500000	2.0	3.0	3.0
1	38500001	39000000	2.0	3.0	3.0
1	39000001	39500000	2.0	3.0	3.0
1	39500001	40000000	2.0	3.0	3.0
1	40000001	40500000	2.0	3.0	3.0
1	40500001	41000000	2.0	3.0	3.0
1	41000001	41500000	2.0	3.0	3.0
1	41500001	42000000	2.0	3.0	3.0
1	42000001	42500000	2.0	3.0	3.0
1	42500001	43000000	2.0	3.0	3.0
1	43000001	43500000	2.0	3.0	3.0
1	43500001	44000000	2.0	3.0	3.0
1	44000001	44500000	2.0	3.0	3.0
1	44500001	45000000	2.0	3.0	3.0
1	45000001	45500000	2.0	3.0	3.0
1	45500001	46000000	2.0	3.0	3.0
1	46000001	46500000	2.0	3.0	3.0
1	46500001	47000000	2.0	3.0	3.0
1	47000001	47500000	2.0	3.0	3.0
1	47500001	48000000	2.0	3.0	3.0
1	48000001	48500000	2.0	3.0	3.0
1	49000001	49500000	2.0	3.0	3.0
1	50500001	51000000	2.0	3.0	3.0
1	51000001	51500000	2.0	3.0	3.0
