chr	start	end	A	C	E	normal
1	2000001	2500000	1.0	3.0	3.0	2
1	3000001	3500000	1.0	3.0	3.0	2
1	4000001	4500000	1.0	3.0	3.0	2
1	4500001	5000000	1.0	3.0	3.0	2
1	5000001	5500000	1.0	3.0	3.0	2
1	5500001	6000000	1.0	3.0	3.0	2
1	6000001	6500000	1.0	3.0	3.0	2
1	6500001	7000000	1.0	3.0	3.0	2
1	7000001	7500000	1.0	3.0	3.0	2
1	7500001	8000000	1.0	3.0	3.0	2
1	8000001	8500000	1.0	3.0	3.0	2
1	8500001	9000000	1.0	3.0	3.0	2
1	9000001	9500000	1.0	3.0	3.0	2
1	9500001	10000000	2.0	3.0	3.0	2
1	10000001	10500000	2.0	3.0	3.0	2
1	10500001	11000000	2.0	3.0	3.0	2
1	11000001	11500000	2.0	3.0	3.0	2
1	11500001	12000000	2.0	3.0	3.0	2
1	12000001	12500000	2.0	3.0	3.0	2
1	14000001	14500000	2.0	3.0	3.0	2
1	14500001	15000000	2.0	3.0	3.0	2
1	15000001	15500000	2.0	3.0	3.0	2
1	15500001	16000000	2.0	3.0	3.0	2
1	16000001	16500000	2.0	3.0	3.0	2
1	17500001	18000000	2.0	5.0	5.0	2
1	18000001	18500000	2.0	5.0	5.0	2
1	18500001	19000000	2.0	5.0	5.0	2
1	19000001	19500000	2.0	5.0	5.0	2
1	19500001	20000000	2.0	5.0	5.0	2
1	20000001	20500000	2.0	5.0	5.0	2
1	20500001	21000000	2.0	5.0	5.0	2
1	21000001	21500000	2.0	5.0	5.0	2
1	21500001	22000000	2.0	5.0	5.0	2
1	22000001	22500000	2.0	5.0	5.0	2
1	22500001	23000000	2.0	5.0	5.0	2
1	23000001	23500000	2.0	3.0	3.0	2
1	23500001	24000000	2.0	3.0	3.0	2
1	24500001	25000000	2.0	3.0	3.0	2
1	25000001	25500000	2.0	3.0	3.0	2
1	26000001	26500000	2.0	3.0	3.0	2
1	26500001	27000000	2.0	3.0	3.0	2
1	27000001	27500000	2.0	3.0	3.0	2
1	27500001	28000000	2.0	3.0	3.0	2
1	28000001	28500000	2.0	3.0	3.0	2
1	28500001	29000000	2.0	3.0	3.0	2
1	29000001	29500000	2.0	3.0	3.0	2
1	30500001	31000000	2.0	3.0	3.0	2
1	31000001	31500000	2.0	3.0	3.0	2
1	31500001	32000000	2.0	3.0	3.0	2
1	32000001	32500000	2.0	3.0	3.0	2
1	32500001	33000000	2.0	3.0	3.0	2
1	33000001	33500000	2.0	3.0	3.0	2
1	33500001	34000000	2.0	3.0	3.0	2
1	34000001	34500000	2.0	3.0	3.0	2
1	35500001	36000000	2.0	3.0	3.0	2
1	36000001	36500000	2.0	3.0	3.0	2
1	36500001	37000000	2.0	3.0	3.0	2
1	37000001	37500000	2.0	3.0	3.0	2
1	37500001	38000000	2.0	3.0	3.0	2
1	38000001	38500000	2.0	3.0	3.0	2
1	38500001	39000000	2.0	3.0	3.0	2
1	39000001	39500000	2.0	3.0	3.0	2
1	39500001	40000000	2.0	3.0	3.0	2
1	40000001	40500000	2.0	3.0	3.0	2
1	40500001	41000000	2.0	3.0	3.0	2
1	41000001	41500000	2.0	3.0	3.0	2
1	41500001	42000000	2.0	3.0	3.0	2
1	42000001	42500000	2.0	3.0	3.0	2
1	42500001	43000000	2.0	3.0	3.0	2
1	43000001	43500000	2.0	3.0	3.0	2
1	43500001	44000000	2.0	3.0	3.0	2
1	44000001	44500000	2.0	3.0	3.0	2
1	44500001	45000000	2.0	3.0	3.0	2
1	45000001	45500000	2.0	3.0	3.0	2
1	45500001	46000000	2.0	3.0	3.0	2
1	46000001	46500000	2.0	3.0	3.0	2
1	46500001	47000000	2.0	3.0	3.0	2
1	47000001	47500000	2.0	3.0	3.0	2
1	47500001	48000000	2.0	3.0	3.0	2
1	48000001	48500000	2.0	3.0	3.0	2
1	49000001	49500000	2.0	3.0	3.0	2
1	50500001	51000000	2.0	3.0	3.0	2
1	51000001	51500000	2.0	3.0	3.0	2
1	51500001	52000000	2.0	3.0	3.0	2
1	52000001	52500000	2.0	3.0	3.0	2
1	52500001	53000000	2.0	3.0	3.0	2
1	53000001	53500000	2.0	3.0	3.0	2
1	53500001	54000000	2.0	3.0	3.0	2
1	54000001	54500000	2.0	3.0	3.0	2
1	54500001	55000000	2.0	3.0	3.0	2
1	55000001	55500000	2.0	3.0	3.0	2
1	55500001	56000000	2.0	3.0	3.0	2
1	56000001	56500000	2.0	3.0	3.0	2
1	56500001	57000000	2.0	3.0	3.0	2
1	57000001	57500000	2.0	3.0	3.0	2
1	57500001	58000000	2.0	3.0	3.0	2
1	58000001	58500000	2.0	3.0	3.0	2
1	59000001	59500000	2.0	3.0	3.0	2
1	59500001	60000000	2.0	3.0	3.0	2
1	60000001	60500000	2.0	3.0	3.0	2
1	61000001	61500000	2.0	3.0	3.0	2
1	61500001	62000000	2.0	3.0	3.0	2
1	62000001	62500000	2.0	3.0	3.0	2
1	62500001	63000000	2.0	3.0	3.0	2
1	63000001	63500000	2.0	3.0	3.0	2
1	63500001	64000000	2.0	3.0	3.0	2
1	64000001	64500000	2.0	3.0	3.0	2
1	64500001	65000000	2.0	3.0	3.0	2
1	65000001	65500000	2.0	3.0	3.0	2
1	65500001	66000000	2.0	3.0	3.0	2
1	66500001	67000000	2.0	4.0	4.0	2
1	67000001	67500000	2.0	4.0	4.0	2
1	68000001	68500000	2.0	4.0	4.0	2
1	68500001	69000000	2.0	4.0	4.0	2
1	69500001	70000000	2.0	4.0	4.0	2
1	70500001	71000000	2.0	4.0	4.0	2
1	71000001	71500000	2.0	4.0	4.0	2
1	72500001	73000000	2.0	4.0	4.0	2
1	73000001	73500000	2.0	4.0	4.0	2
1	73500001	74000000	2.0	4.0	4.0	2
1	74000001	74500000	2.0	4.0	4.0	2
1	75000001	75500000	2.0	4.0	4.0	2
1	76000001	76500000	2.0	4.0	4.0	2
1	76500001	77000000	2.0	4.0	4.0	2
1	77000001	77500000	2.0	4.0	4.0	2
1	77500001	78000000	2.0	4.0	4.0	2
1	78000001	78500000	2.0	4.0	4.0	2
1	78500001	79000000	2.0	4.0	4.0	2
1	79000001	79500000	2.0	4.0	4.0	2
1	79500001	80000000	2.0	4.0	4.0	2
1	80000001	80500000	2.0	4.0	4.0	2
1	80500001	81000000	2.0	4.0	4.0	2
1	81500001	82000000	2.0	4.0	4.0	2
1	82000001	82500000	2.0	4.0	4.0	2
1	83000001	83500000	2.0	4.0	4.0	2
1	84000001	84500000	2.0	4.0	4.0	2
1	85000001	85500000	2.0	4.0	4.0	2
1	85500001	86000000	2.0	4.0	4.0	2
1	86500001	87000000	2.0	4.0	4.0	2
1	87500001	88000000	2.0	4.0	4.0	2
1	88000001	88500000	2.0	4.0	4.0	2
1	88500001	89000000	2.0	4.0	4.0	2
1	89000001	89500000	2.0	4.0	4.0	2
1	89500001	90000000	2.0	4.0	4.0	2
1	90500001	91000000	2.0	4.0	4.0	2
1	91000001	91500000	2.0	4.0	4.0	2
1	92000001	92500000	2.0	4.0	4.0	2
1	92500001	93000000	2.0	4.0	4.0	2
1	93000001	93500000	2.0	4.0	4.0	2
1	93500001	94000000	2.0	4.0	4.0	2
1	94000001	94500000	2.0	4.0	4.0	2
1	94500001	95000000	2.0	4.0	4.0	2
1	95000001	95500000	2.0	4.0	4.0	2
1	95500001	96000000	2.0	4.0	4.0	2
1	96000001	96500000	2.0	4.0	4.0	2
1	97000001	97500000	2.0	3.0	3.0	2
1	97500001	98000000	2.0	3.0	3.0	2
1	98000001	98500000	2.0	3.0	3.0	2
1	98500001	99000000	2.0	3.0	3.0	2
