chr	start	end	copy
1	1	500000	
1	500001	1000000	
1	1000001	1500000	
1	1500001	2000000	-0.30921002652542906
1	2000001	2500000	
1	2500001	3000000	
1	3000001	3500000	-0.21072964469556962
1	3500001	4000000	
1	4000001	4500000	-0.07042209968457469
1	4500001	5000000	-0.28269042057404603
1	5000001	5500000	-0.22215256690012694
1	5500001	6000000	-0.1860303068487317
1	6000001	6500000	-0.3262722625378945
1	6500001	7000000	-0.3339593404488262
1	7000001	7500000	-0.2692899655537961
1	7500001	8000000	-0.27321640717040246
1	8000001	8500000	-0.3487740311274213
1	8500001	9000000	-0.3334058877849221
1	9000001	9500000	-0.3153159667958496
1	9500001	10000000	-0.10848060940765686
1	10000001	10500000	-0.07195982663155355
1	10500001	11000000	0.17813701268876256
1	11000001	11500000	0.13974503087361087
1	11500001	12000000	0.016529688091236713
1	12000001	12500000	0.0019701346415572116
1	12500001	13000000	-0.02429296660957993
1	13000001	13500000	
1	13500001	14000000	
1	14000001	14500000	0.0038894886653805345
1	14500001	15000000	-0.007921793983580058
1	15000001	15500000	0.04128637979243329
1	15500001	16000000	-0.04632567243353286
1	16000001	16500000	-0.0300517714210184
1	16500001	17000000	0.4337849924845951
1	17000001	17500000	
1	17500001	18000000	0.12255583440449212
1	18000001	18500000	0.21610258256699544
1	18500001	19000000	0.1825965269018519
1	19000001	19500000	0.1748518304425609
1	19500001	20000000	0.13940352759211336
1	20000001	20500000	0.13931434682877666
1	20500001	21000000	0.14719838553857006
1	21000001	21500000	0.04486709069717037
1	21500001	22000000	0.13255839553169516
1	22000001	22500000	0.10428707688355733
1	22500001	23000000	0.16996403693565124
1	23000001	23500000	0.03855138752894339
1	23500001	24000000	-0.027361467854163827
1	24000001	24500000	-0.09889602523786113
1	24500001	25000000	-0.017028098677997087
1	25000001	25500000	-0.006656979809309777
1	25500001	26000000	-0.1941141422313468
1	26000001	26500000	0.026805068306447837
1	26500001	27000000	-0.012996538540620299
1	27000001	27500000	-0.007292185254191732
1	27500001	28000000	0.008951566246432344
1	28000001	28500000	-0.08001297178541432
1	28500001	29000000	-0.09557369702614346
1	29000001	29500000	-0.07510265860601766
1	29500001	30000000	
1	30000001	30500000	
